,Year,Type,Distance_km,Stage
819,1957,Stage with mountains,239.0,1
820,1957,Stage with mountains,247.0,1
821,1957,Stage with mountains,286.0,1
822,1957,Team time trial,15.0,1
823,1958,Individual time trial,46.0,1
824,1958,Individual time trial,74.0,1
825,1958,Mountain time trial,21.0,1
826,1958,Flat,137.0,1
827,1958,Flat,161.0,1
828,1958,Flat,170.0,1
829,1958,Flat,177.0,1
830,1958,Flat,184.0,1
831,1958,Flat,187.0,1
832,1958,Flat,189.0,1
833,1958,Flat,198.0,1
834,1958,Flat,205.0,1
835,1958,Flat,206.0,1
836,1958,Flat,223.0,1
837,1958,Flat,232.0,1
838,1958,Flat,255.0,1
839,1958,Flat,320.0,1
840,1958,Stage with mountains,129.0,1
841,1958,Stage with mountains,165.0,1
842,1958,Stage with mountains,176.0,1
843,1958,Stage with mountains,178.0,1
844,1958,Stage with mountains,219.0,1
845,1958,Stage with mountains,230.0,1
846,1958,Stage with mountains,237.0,1
847,1959,Individual time trial,45.0,1
848,1959,Individual time trial,69.0,1
849,1959,Mountain time trial,12.0,1
850,1959,Flat,184.0,1
851,1959,Flat,190.0,1
852,1959,Flat,201.0,1
853,1959,Flat,202.0,1
854,1959,Flat,207.0,1
855,1959,Flat,210.0,1
856,1959,Flat,217.0,1
857,1959,Flat,230.0,1
858,1959,Flat,234.0,1
859,1959,Flat,238.0,1
860,1959,Flat,286.0,1
861,1959,Flat,331.0,1
862,1959,Stage with mountains,119.0,1
863,1959,Stage with mountains,197.0,1
864,1959,Stage with mountains,219.0,1
865,1959,Stage with mountains,231.0,1
866,1959,Stage with mountains,235.0,1
867,1959,Stage with mountains,243.0,1
868,1959,Stage with mountains,251.0,1
869,1960,Individual time trial,27.8,1
870,1960,Individual time trial,83.0,1
871,1960,Flat,108.0,1
872,1960,Flat,189.0,1
873,1960,Flat,191.0,1
874,1960,Flat,200.0,1
875,1960,Flat,206.0,1
876,1960,Flat,209.0,1
877,1960,Flat,211.0,1
878,1960,Flat,224.0,1
879,1960,Flat,225.0,1
880,1960,Flat,229.0,1
881,1960,Flat,240.0,1
882,1960,Flat,244.0,1
883,1960,Stage with mountains,161.0,1
884,1960,Stage with mountains,172.0,1
885,1960,Stage with mountains,176.0,1
886,1960,Stage with mountains,187.0,1
887,1960,Stage with mountains,215.0,1
888,1960,Stage with mountains,217.0,1
889,1960,Stage with mountains,228.0,1
890,1960,Stage with mountains,229.0,1
891,1961,Individual time trial,28.5,1
892,1961,Individual time trial,74.5,1
893,1961,Flat,136.5,1
894,1961,Flat,174.0,1
895,1961,Flat,177.5,1
896,1961,Flat,197.5,1
897,1961,Flat,206.0,1
898,1961,Flat,207.0,1
899,1961,Flat,214.5,1
900,1961,Flat,230.5,1
901,1961,Flat,237.5,1
902,1961,Flat,252.5,1
903,1961,Flat,309.5,1
904,1961,Stage with mountains,180.5,1
905,1961,Stage with mountains,197.0,1
906,1961,Stage with mountains,199.0,1
907,1961,Stage with mountains,208.0,1
908,1961,Stage with mountains,221.0,1
909,1961,Stage with mountains,225.0,1
910,1961,Stage with mountains,230.0,1
911,1961,Stage with mountains,240.5,1
912,1961,Stage with mountains,250.5,1
913,1962,Individual time trial,43.0,1
914,1962,Individual time trial,68.0,1
915,1962,Mountain time trial,18.5,1
916,1962,Flat,147.0,1
917,1962,Flat,155.0,1
918,1962,Flat,155.5,1
919,1962,Flat,184.5,1
920,1962,Flat,185.0,1
921,1962,Flat,196.5,2
922,1962,Flat,201.0,2
923,1962,Flat,210.0,1
924,1962,Flat,214.0,1
925,1962,Flat,215.0,1
926,1962,Flat,232.0,1
927,1962,Flat,235.5,1
928,1962,Flat,253.0,1
929,1962,Flat,271.0,1
930,1962,Stage with mountains,204.5,1
931,1962,Stage with mountains,207.5,1
932,1962,Stage with mountains,215.0,1
933,1962,Stage with mountains,241.5,1
934,1962,Team time trial,23.0,1
935,1963,Individual time trial,25.0,1
936,1963,Individual time trial,54.0,1
937,1963,Flat,118.0,1
938,1963,Flat,152.0,1
939,1963,Flat,185.0,1
940,1963,Flat,186.0,1
941,1963,Flat,202.0,1
942,1963,Flat,223.0,1
943,1963,Flat,232.0,1
944,1963,Flat,234.0,2
945,1963,Flat,236.0,2
946,1963,Flat,237.0,1
947,1963,Flat,285.0,1
948,1963,Stage with mountains,131.0,1
949,1963,Stage with mountains,148.0,1
950,1963,Stage with mountains,173.0,1
951,1963,Stage with mountains,174.0,1
952,1963,Stage with mountains,202.0,1
953,1963,Stage with mountains,225.0,1
954,1963,Stage with mountains,228.0,1
955,1963,Team time trial,22.0,1
956,1964,Individual time trial,21.0,1
957,1964,Individual time trial,27.0,1
958,1964,Individual time trial,43.0,1
959,1964,Flat,119.0,1
960,1964,Flat,161.0,1
961,1964,Flat,174.0,1
962,1964,Flat,187.0,2
963,1964,Flat,195.0,1
964,1964,Flat,197.0,1
965,1964,Flat,200.0,1
966,1964,Flat,208.0,1
967,1964,Flat,215.0,2
968,1964,Flat,250.0,1
969,1964,Flat,292.0,1
970,1964,Flat,311.0,1
971,1964,Stage with mountains,170.0,1
972,1964,Stage with mountains,186.0,1
973,1964,Stage with mountains,197.0,1
974,1964,Stage with mountains,203.0,1
975,1964,Stage with mountains,217.0,1
976,1964,Stage with mountains,239.0,1
977,1964,Stage with mountains,249.0,1
978,1964,Team time trial,21.0,1
979,1965,Individual time trial,26.7,1
980,1965,Individual time trial,37.8,1
981,1965,Mountain time trial,26.9,1
982,1965,Flat,147.0,1
983,1965,Flat,149.0,1
984,1965,Flat,164.0,1
985,1965,Flat,197.5,1
986,1965,Flat,198.5,1
987,1965,Flat,200.5,1
988,1965,Flat,210.5,1
989,1965,Flat,219.0,2
990,1965,Flat,225.5,1
991,1965,Flat,227.0,1
992,1965,Flat,240.0,1
993,1965,Stage with mountains,165.0,1
994,1965,Stage with mountains,167.5,1
995,1965,Stage with mountains,173.0,1
996,1965,Stage with mountains,177.0,1
997,1965,Stage with mountains,193.5,1
998,1965,Stage with mountains,222.5,1
999,1965,Stage with mountains,226.5,1
1000,1965,Stage with mountains,240.5,1
1001,1965,Team time trial,22.5,1
1002,1966,Individual time trial,20.0,1
1003,1966,Individual time trial,51.0,1
1004,1966,Flat,111.0,1
1005,1966,Flat,131.0,1
1006,1966,Flat,138.0,1
1007,1966,Flat,144.0,1
1008,1966,Flat,178.0,1
1009,1966,Flat,191.0,1
1010,1966,Flat,198.0,1
1011,1966,Flat,201.0,1
1012,1966,Flat,205.0,1
1013,1966,Flat,209.0,1
1014,1966,Flat,217.0,1
1015,1966,Flat,223.0,1
1016,1966,Flat,232.0,1
1017,1966,Flat,252.0,1
1018,1966,Stage with mountains,148.0,1
1019,1966,Stage with mountains,160.0,1
1020,1966,Stage with mountains,188.0,2
1021,1966,Stage with mountains,203.0,1
1022,1966,Stage with mountains,219.0,1
1023,1966,Stage with mountains,234.0,1
1024,1966,Stage with mountains,265.0,1
1025,1966,Team time trial,21.0,1
1026,1967,Individual time trial,5.775,1
1027,1967,Individual time trial,46.6,1
1028,1967,Flat,104.0,1
1029,1967,Flat,172.0,1
1030,1967,Flat,180.0,1
1031,1967,Flat,185.5,1
1032,1967,Flat,191.0,1
1033,1967,Flat,201.5,1
1034,1967,Flat,206.5,1
1035,1967,Flat,207.5,1
1036,1967,Flat,217.0,1
1037,1967,Flat,230.5,1
1038,1967,Flat,238.0,1
1039,1967,Flat,248.0,1
1040,1967,Flat,359.0,1
1041,1967,Stage with mountains,188.0,1
1042,1967,Stage with mountains,197.0,1
1043,1967,Stage with mountains,205.5,1
1044,1967,Stage with mountains,211.5,1
1045,1967,Stage with mountains,215.0,1
1046,1967,Stage with mountains,222.0,1
1047,1967,Stage with mountains,238.5,1
1048,1967,Stage with mountains,243.0,1
1049,1967,Stage with mountains,250.0,1
1050,1967,Team time trial,17.0,1
1051,1968,Individual time trial,6.1,1
1052,1968,Individual time trial,55.2,1
1053,1968,Flat,112.0,1
1054,1968,Flat,136.0,1
1055,1968,Flat,137.5,1
1056,1968,Flat,154.5,1
1057,1968,Flat,165.0,1
1058,1968,Flat,183.5,1
1059,1968,Flat,188.0,1
1060,1968,Flat,189.0,1
1061,1968,Flat,190.0,1
1062,1968,Flat,199.0,1
1063,1968,Flat,202.5,1
1064,1968,Flat,210.5,1
1065,1968,Flat,223.0,1
1066,1968,Flat,238.0,1
1067,1968,Flat,242.0,1
1068,1968,Flat,250.5,1
1069,1968,Stage with mountains,200.0,1
1070,1968,Stage with mountains,208.5,1
1071,1968,Stage with mountains,226.5,1
1072,1968,Stage with mountains,231.5,1
1073,1968,Stage with mountains,235.0,1
1074,1968,Stage with mountains,236.5,1
1075,1968,Stage with mountains,242.5,1
1076,1968,Team time trial,22.0,1
1077,1969,Individual time trial,9.0,1
1078,1969,Individual time trial,10.0,1
1079,1969,Individual time trial,19.0,1
1080,1969,Individual time trial,37.0,1
1081,1969,Flat,111.0,1
1082,1969,Flat,147.0,1
1083,1969,Flat,182.0,1
1084,1969,Flat,193.0,1
1085,1969,Flat,196.0,1
1086,1969,Flat,201.0,1
1087,1969,Flat,213.0,1
1088,1969,Flat,214.0,1
1089,1969,Flat,234.0,1
1090,1969,Flat,329.0,1
1091,1969,Stage with mountains,111.0,1
1092,1969,Stage with mountains,133.0,1
1093,1969,Stage with mountains,137.0,1
1094,1969,Stage with mountains,161.0,1
1095,1969,Stage with mountains,194.0,1
1096,1969,Stage with mountains,198.0,2
1097,1969,Stage with mountains,199.0,1
1098,1969,Stage with mountains,214.0,1
1099,1969,Stage with mountains,221.0,1
